,Ano de referência do Coleta,Grande área do conhecimento do programa de pós-graduação,Área de conhecimento do programa de pós-graduação,Área básica do conhecimento do programa de pós-graduação,Subárea do conhecimento do programa de pós-graduação,Especialidade do conhecimento programa de pós-graduação,Código identificador da área de avaliação do programa de pós-graduação,Área de avaliação do programa de pós-graduação,Código da Instituição de Ensino Superior na CAPES,Código e-Mec da Instituição de Ensino Superior,Sigla da Instituição de Ensino Superior do programa de pós-graduação,Instituição de Ensino Superior do programa de pós-graduação,Indicador de programa de pós-graduação em rede,"Siglas das Instituições que compõem o programa em rede, quando for o caso",Status Jurídico da Instituição de Ensino Superior,Dependência administrativa da Instituição de Ensino Superior,Organização acadêmica da Instituição de Ensino Superior,Grande Região onde está localizado o programa,Sigla da Unidade da Federação do programa,Município sede do programa de pós-graduação,Modalidade do programa de pós-graduação,Código do programa de pós-graduação,Nome do programa de pós-graduação,Nome do programa de pós-graduação em inglês,Nível do programa de pós-graduação,Nota/Conceito do programa de pós-graduação,Ano de início do programa de pós-graduação,Ano de início de cada curso que compõe o programa,Situação do programa no ano de referência
281,2021,CIÊNCIAS EXATAS E DA TERRA,QUÍMICA,QUÍMICA,NÃO SE APLICA,NÃO SE APLICA,4,QUÍMICA,16003012,3849,UFT,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,TO,PALMAS,ACADÊMICO,16003012171P7,QUÍMICA,MASTER IN CHEMISTRY,MESTRADO,3,2017,2017,EM FUNCIONAMENTO
331,2021,CIÊNCIAS SOCIAIS APLICADAS,COMUNICAÇÃO,COMUNICAÇÃO,NÃO SE APLICA,NÃO SE APLICA,31,COMUNICAÇÃO E INFORMAÇÃO,20001010,548,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,IMPERATRIZ,ACADÊMICO,20001010046P7,COMUNICAÇÃO,MASTER IN COMMUNICATION,MESTRADO,A,2019,2019,EM FUNCIONAMENTO
99,2021,MULTIDISCIPLINAR,INTERDISCIPLINAR,SOCIAIS E HUMANIDADES,SOCIAIS E HUMANIDADES,NÃO SE APLICA,45,INTERDISCIPLINAR,12008010,3172,UEA,UNIVERSIDADE DO ESTADO DO AMAZONAS,NÃO,,ESTADUAL,PÚBLICA,UNIVERSIDADE,NORTE,AM,MANAUS,ACADÊMICO,12008010070P0,CIÊNCIAS HUMANAS,MASTER IN HUMANITIES AND SOCIAL SCIENCES,MESTRADO,3,2016,2016,EM FUNCIONAMENTO
35,2021,CIÊNCIAS SOCIAIS APLICADAS,DESENHO INDUSTRIAL,DESENHO INDUSTRIAL,NÃO SE APLICA,NÃO SE APLICA,29,"ARQUITETURA, URBANISMO E DESIGN",12001015,4,UFAM,UNIVERSIDADE FEDERAL DO AMAZONAS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AM,MANAUS,PROFISSIONAL,12001015172P0,DESIGN,MASTER IN PROFESSIONAL DESIGN (PPGD).,MESTRADO PROFISSIONAL,3,2017,2017,EM FUNCIONAMENTO
341,2021,CIÊNCIAS HUMANAS,PSICOLOGIA,PSICOLOGIA,NÃO SE APLICA,NÃO SE APLICA,37,PSICOLOGIA,20001010,548,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,SÃO LUÍS,ACADÊMICO,20001010027P2,PSICOLOGIA,MASTER IN PSYCHOLOGY,MESTRADO,3,2012,2012,EM FUNCIONAMENTO
19,2021,CIÊNCIAS DA SAÚDE,SAÚDE COLETIVA,SAÚDE COLETIVA,NÃO SE APLICA,NÃO SE APLICA,22,SAÚDE COLETIVA,11001011,549,UFAC,UNIVERSIDADE FEDERAL DO ACRE,SIM,FIOCRUZ,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AC,RIO BRANCO,ACADÊMICO,11001011005P3,SAÚDE COLETIVA,MASTER IN PUBLIC HEALTH,MESTRADO/DOUTORADO,4,2008,2008/2016,EM FUNCIONAMENTO
345,2021,CIÊNCIAS SOCIAIS APLICADAS,ECONOMIA,ECONOMIA,NÃO SE APLICA,NÃO SE APLICA,28,ECONOMIA,20001010,548,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,SÃO LUÍS,ACADÊMICO,20001010021P4,DESENVOLVIMENTO SOCIOECONÔMICO,MASTER IN SOCIOECONOMIC DEVELOPMENT,MESTRADO,3,2011,2011,EM FUNCIONAMENTO
85,2021,MULTIDISCIPLINAR,ENSINO,ENSINO,NÃO SE APLICA,NÃO SE APLICA,46,ENSINO,12003018,1812,IFAM,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAZONAS",NÃO,,FEDERAL,PÚBLICA,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA",NORTE,AM,MANAUS,PROFISSIONAL,12003018001P3,ENSINO TECNOLÓGICO,MASTER IN TECHNOLOGICAL TEACHING,MESTRADO PROFISSIONAL/DOUTORADO PROFISSIONAL,4,2014,2014,EM FUNCIONAMENTO
292,2021,CIÊNCIAS HUMANAS,EDUCAÇÃO,EDUCAÇÃO,NÃO SE APLICA,NÃO SE APLICA,38,EDUCAÇÃO,16003012,3849,UFT,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,TO,PALMAS,ACADÊMICO,16003012013P2,EDUCAÇAO,MASTER OF EDUCATION,MESTRADO,3,2012,2012,EM FUNCIONAMENTO
350,2021,"LINGÜÍSTICA, LETRAS E ARTES",LETRAS,LETRAS,NÃO SE APLICA,NÃO SE APLICA,41,LINGUÍSTICA E LITERATURA,20002017,568,UEMA,UNIVERSIDADE ESTADUAL DO MARANHÃO,NÃO,,ESTADUAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,SÃO LUÍS,ACADÊMICO,20002017040P5,LETRAS,MASTER OF LETTERS,MESTRADO,3,2016,2016,EM FUNCIONAMENTO
266,2021,"LINGÜÍSTICA, LETRAS E ARTES",LETRAS,LETRAS,NÃO SE APLICA,NÃO SE APLICA,41,LINGUÍSTICA E LITERATURA,15025012,18440,UNIFESSPA,UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,MARABÁ,ACADÊMICO,15025012070P0,LETRAS,MASTER OF LETTERS,MESTRADO,3,2017,2017,EM FUNCIONAMENTO
300,2021,MULTIDISCIPLINAR,INTERDISCIPLINAR,SAÚDE E BIOLÓGICAS,SAÚDE E BIOLÓGICAS,NÃO SE APLICA,45,INTERDISCIPLINAR,16003012,3849,UFT,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,TO,PALMAS,PROFISSIONAL,16003012007P2,CIÊNCIAS DA SAÚDE,MASTER OF SCIENCE IN HEALTH PROGRAM OF FEDERAL UNIVERSITY OF TOCANTINS,MESTRADO PROFISSIONAL,3,2007,2007,EM FUNCIONAMENTO
11,2021,MULTIDISCIPLINAR,ENSINO,ENSINO DE CIÊNCIAS E MATEMÁTICA,ENSINO DE CIÊNCIAS E MATEMÁTICA,NÃO SE APLICA,46,ENSINO,10001018,699,UNIR,UNIVERSIDADE FEDERAL DE RONDÔNIA,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,RO,ROLIM DE MOURA,ACADÊMICO,10001018040P0,ENSINO DE CIÊNCIAS DA NATUREZA - PPGECN,MASTER OF SCIENCE IN NATURE TEACHING,MESTRADO,3,2017,2017,EM FUNCIONAMENTO
66,2021,CIÊNCIAS EXATAS E DA TERRA,MATEMÁTICA,MATEMÁTICA,NÃO SE APLICA,NÃO SE APLICA,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,12001015,4,UFAM,UNIVERSIDADE FEDERAL DO AMAZONAS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AM,MANAUS,ACADÊMICO,12001015015P1,MATEMÁTICA,MASTER PROGRAM IN MATHEMATICS,MESTRADO,4,1998,1998,EM FUNCIONAMENTO
5,2021,CIÊNCIAS HUMANAS,HISTÓRIA,HISTÓRIA REGIONAL DO BRASIL,HISTÓRIA DO BRASIL,HISTÓRIA REGIONAL DO BRASIL,40,HISTÓRIA,10001018,699,UNIR,UNIVERSIDADE FEDERAL DE RONDÔNIA,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,RO,PORTO VELHO,ACADÊMICO,10001018045P2,HISTÓRIA DA AMAZÔNIA,MASTER'S DEGREE IN AMAZONIAN HISTORY,MESTRADO,A,2021,2021,EM FUNCIONAMENTO
320,2021,CIÊNCIAS HUMANAS,SOCIOLOGIA,SOCIOLOGIA,NÃO SE APLICA,NÃO SE APLICA,34,SOCIOLOGIA,20001010,548,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,IMPERATRIZ,ACADÊMICO,20001010044P4,SOCIOLOGIA,MASTER'S IN SOCIOLOGY,MESTRADO,A,2019,2019,EM FUNCIONAMENTO
68,2021,CIÊNCIAS DA SAÚDE,ODONTOLOGIA,ODONTOLOGIA,NÃO SE APLICA,NÃO SE APLICA,18,ODONTOLOGIA,12001015,4,UFAM,UNIVERSIDADE FEDERAL DO AMAZONAS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AM,MANAUS,ACADÊMICO,12001015040P6,ODONTOLOGIA,MASTERS IN DENTISTRY,MESTRADO,3,2012,2012,EM FUNCIONAMENTO
16,2021,CIÊNCIAS HUMANAS,GEOGRAFIA,GEOGRAFIA,NÃO SE APLICA,NÃO SE APLICA,36,GEOGRAFIA,10001018,699,UNIR,UNIVERSIDADE FEDERAL DE RONDÔNIA,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,RO,PORTO VELHO,ACADÊMICO,10001018005P0,GEOGRAFIA,"MASTERS IN GEOGRAPHY, FEDERAL UNIVERSITY OF RONDÔNIA",MESTRADO/DOUTORADO,4,2006,2006/2015,EM FUNCIONAMENTO
393,2021,CIÊNCIAS EXATAS E DA TERRA,MATEMÁTICA,MATEMÁTICA,NÃO SE APLICA,NÃO SE APLICA,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,21001014,5,FUFPI,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,PI,TERESINA,ACADÊMICO,21001014021P7,MATEMÁTICA,MASTERS IN MATHEMATICS,MESTRADO/DOUTORADO,4,2009,2009/2019,EM FUNCIONAMENTO
336,2021,CIÊNCIAS DA SAÚDE,EDUCAÇÃO FÍSICA,EDUCAÇÃO FÍSICA,NÃO SE APLICA,NÃO SE APLICA,21,EDUCAÇÃO FÍSICA,20001010,548,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,SÃO LUÍS,ACADÊMICO,20001010043P8,EDUCAÇÃO FÍSICA,MASTERS PROGRAM IN PHYSICAL EDUCACION,MESTRADO,3,2016,2016,EM FUNCIONAMENTO
250,2021,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,ENGENHARIA DE MATERIAIS E METALÚRGICA,NÃO SE APLICA,NÃO SE APLICA,12,ENGENHARIAS II,15008010,1813,IFPA,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARÁ",NÃO,,FEDERAL,PÚBLICA,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA",NORTE,PA,BELÉM,PROFISSIONAL,15008010002P0,ENGENHARIA DE MATERIAIS,MATERIALS ENGINEERING,MESTRADO PROFISSIONAL,3,2016,2016,EM FUNCIONAMENTO
312,2021,MULTIDISCIPLINAR,MATERIAIS,MATERIAIS,NÃO SE APLICA,NÃO SE APLICA,47,MATERIAIS,20001010,548,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,IMPERATRIZ,ACADÊMICO,20001010031P0,CIÊNCIA DOS MATERIAS,MATERIALS SCIENCE,MESTRADO/DOUTORADO,4,2013,2013/2019,EM FUNCIONAMENTO
189,2021,ENGENHARIAS,ENGENHARIA DE MATERIAIS E METALÚRGICA,ENGENHARIA DE MATERIAIS E METALÚRGICA,NÃO SE APLICA,NÃO SE APLICA,12,ENGENHARIAS II,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,ANANINDEUA,ACADÊMICO,15001016168P0,CIÊNCIA E ENGENHARIA DE MATERIAIS,MATERIALS SCIENCE AND ENGINEERING,MESTRADO,A,2020,2020,EM FUNCIONAMENTO
386,2021,MULTIDISCIPLINAR,MATERIAIS,MATERIAIS,NÃO SE APLICA,NÃO SE APLICA,47,MATERIAIS,21001014,5,FUFPI,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,PI,TERESINA,ACADÊMICO,21001014024P6,CIÊNCIA E ENGENHARIA DOS MATERIAIS,MATERIALS SCIENCE AND ENGINEERING,MESTRADO/DOUTORADO,5,2011,2011/2015,EM FUNCIONAMENTO
1,2021,MULTIDISCIPLINAR,ENSINO,ENSINO DE CIÊNCIAS E MATEMÁTICA,ENSINO DE CIÊNCIAS E MATEMÁTICA,NÃO SE APLICA,46,ENSINO,10001018,699,UNIR,UNIVERSIDADE FEDERAL DE RONDÔNIA,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,RO,JI-PARANÁ,ACADÊMICO,10001018042P3,EDUCAÇÃO MATEMÁTICA,MATHEMATICAL EDUCATION,MESTRADO,A,2019,2019,EM FUNCIONAMENTO
243,2021,MULTIDISCIPLINAR,ENSINO,ENSINO,NÃO SE APLICA,NÃO SE APLICA,46,ENSINO,15006018,38,UEPA,UNIVERSIDADE DO ESTADO DO PARÁ,NÃO,,ESTADUAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,PROFISSIONAL,15006018008P5,ENSINO DE MATEMÁTICA,MATHEMATICS EDUCATION,MESTRADO PROFISSIONAL,3,2015,2015,EM FUNCIONAMENTO
137,2021,ENGENHARIAS,ENGENHARIA MECÂNICA,ENGENHARIA MECÂNICA,NÃO SE APLICA,NÃO SE APLICA,13,ENGENHARIAS III,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016018P9,ENGENHARIA MECÂNICA,MECHANICAL ENGINEERING,MESTRADO,3,1994,1994,EM FUNCIONAMENTO
146,2021,CIÊNCIAS DA SAÚDE,FARMÁCIA,FARMÁCIA,NÃO SE APLICA,NÃO SE APLICA,19,FARMÁCIA,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016086P4,QUÍMICA MEDICINAL E MODELAGEM MOLECULAR,MEDICINAL CHEMISTRY AND MOLECULAR MODELING,MESTRADO,3,2015,2015,EM FUNCIONAMENTO
277,2021,CIÊNCIAS AGRÁRIAS,ENGENHARIA AGRÍCOLA,ENGENHARIA DE PROCESSAMENTO DE PRODUTOS AGRÍCOLAS,ENGENHARIA DE PROCESSAMENTO DE PRODUTOS AGRÍCOLAS,NÃO SE APLICA,42,CIÊNCIAS AGRÁRIAS I,16003012,3849,UFT,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,TO,PALMAS,ACADÊMICO,16003012005P0,AGROENERGIA DIGITAL,MINTER IN AGROENERGY,MESTRADO,3,2008,2008,EM FUNCIONAMENTO
110,2021,MULTIDISCIPLINAR,CIÊNCIAS AMBIENTAIS,CIÊNCIAS AMBIENTAIS,NÃO SE APLICA,NÃO SE APLICA,49,CIÊNCIAS AMBIENTAIS,13001019,789,UFRR,FUNDAÇÃO UNIVERSIDADE FEDERAL DE RORAIMA,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,RR,BOA VISTA,ACADÊMICO,13001019001P3,RECURSOS NATURAIS,NATURAL RESOURCES,MESTRADO/DOUTORADO,4,2004,2004/2015,EM FUNCIONAMENTO
208,2021,MULTIDISCIPLINAR,INTERDISCIPLINAR,MEIO AMBIENTE E AGRÁRIAS,MEIO AMBIENTE E AGRÁRIAS,NÃO SE APLICA,45,INTERDISCIPLINAR,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,PROFISSIONAL,15001016059P7,GESTAO DOS RECURSOS NATURAIS E DESENVOLVIMENTO LOCAL NA AMAZONIA,NATURAL RESOURCES MANAGEMENT AND LOCAL DEVELOPMENT IN AMAZON,MESTRADO PROFISSIONAL/DOUTORADO PROFISSIONAL,5,2007,2007,EM FUNCIONAMENTO
255,2021,MULTIDISCIPLINAR,CIÊNCIAS AMBIENTAIS,CIÊNCIAS AMBIENTAIS,NÃO SE APLICA,NÃO SE APLICA,49,CIÊNCIAS AMBIENTAIS,15010015,15059,UFOPA,UNIVERSIDADE FEDERAL DO OESTE DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,SANTARÉM,ACADÊMICO,15010015002P0,RECURSOS NATURAIS DA AMAZÔNIA,NATURAL RESOURCES OF AMAZONIA,MESTRADO,3,2009,2009,EM FUNCIONAMENTO
203,2021,CIÊNCIAS BIOLÓGICAS,FISIOLOGIA,FISIOLOGIA,NÃO SE APLICA,NÃO SE APLICA,8,CIÊNCIAS BIOLÓGICAS II,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016044P0,NEUROCIÊNCIAS E BIOLOGIA CELULAR,NEUROSCIENCE AND CELL BIOLOGY.,MESTRADO/DOUTORADO,4,2004,2004/2004,EM FUNCIONAMENTO
304,2021,CIÊNCIAS SOCIAIS APLICADAS,PLANEJAMENTO URBANO E REGIONAL,PLANEJAMENTO URBANO E REGIONAL,NÃO SE APLICA,NÃO SE APLICA,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,17010004,NI,UFNT,UNIVERSIDADE FEDERAL DO NORTE DO TOCANTINS - UFNT,NÃO,,FEDERAL,PÚBLICA,NÃO INFORMADO,NORTE,TO,ARAGUAÍNA,ACADÊMICO,17010004004P3,DEMANDAS POPULARES E DINÂMICAS REGIONAIS,NÃO INFORMADO,MESTRADO,3,2017,2017,EM FUNCIONAMENTO
301,2021,"LINGÜÍSTICA, LETRAS E ARTES",LETRAS,LETRAS,NÃO SE APLICA,NÃO SE APLICA,41,LINGUÍSTICA E LITERATURA,17010004,NI,UFNT,UNIVERSIDADE FEDERAL DO NORTE DO TOCANTINS - UFNT,NÃO,,FEDERAL,PÚBLICA,NÃO INFORMADO,NORTE,TO,ARAGUAÍNA,ACADÊMICO,17010004005P0,LETRAS:ENSINO DE LÍNGUA E LITERATURA,NÃO INFORMADO,MESTRADO/DOUTORADO,4,2010,2010/2013,EM FUNCIONAMENTO
157,2021,MULTIDISCIPLINAR,CIÊNCIAS AMBIENTAIS,CIÊNCIAS AMBIENTAIS,NÃO SE APLICA,NÃO SE APLICA,49,CIÊNCIAS AMBIENTAIS,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016161P6,OCEANOGRAFIA,OCEANOGRAPHY,MESTRADO,A,2019,2019,EM FUNCIONAMENTO
175,2021,CIÊNCIAS DA SAÚDE,MEDICINA,CANCEROLOGIA,CLÍNICA MÉDICA,CANCEROLOGIA,15,MEDICINA I,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016071P7,ONCOLOGIA E CIÊNCIAS MÉDICAS,ONCOLOGY AND MEDICAL SCIENCES,MESTRADO/DOUTORADO,4,2011,2011/2014,EM FUNCIONAMENTO
245,2021,CIÊNCIAS BIOLÓGICAS,MICROBIOLOGIA,BIOLOGIA E FISIOLOGIA DOS MICROORGANISMOS,BIOLOGIA E FISIOLOGIA DOS MICROORGANISMOS,NÃO SE APLICA,9,CIÊNCIAS BIOLÓGICAS III,15006018,38,UEPA,UNIVERSIDADE DO ESTADO DO PARÁ,NÃO,,ESTADUAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15006018002P7,BIOLOGIA PARASITÁRIA NA AMAZÔNIA,PARASITE BIOLOGY IN THE AMAZON REGION,MESTRADO/DOUTORADO,4,2009,2009/2014,EM FUNCIONAMENTO
333,2021,"LINGÜÍSTICA, LETRAS E ARTES",ARTES,TEATRO,TEATRO,NÃO SE APLICA,11,ARTES,20001010,548,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,SÃO LUÍS,ACADÊMICO,20001010045P0,PÓS GRADUAÇÃO EM ARTES CÊNICAS,PERFORMING ARTS PROGRAM,MESTRADO,A,2019,2019,EM FUNCIONAMENTO
206,2021,CIÊNCIAS DA SAÚDE,FARMÁCIA,FARMÁCIA,NÃO SE APLICA,NÃO SE APLICA,19,FARMÁCIA,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,PROFISSIONAL,15001016160P0,ASSISTÊNCIA FARMACÊUTICA,PHARMACEUTICAL ASSISTANCE,MESTRADO PROFISSIONAL,3,2018,2018,EM FUNCIONAMENTO
184,2021,CIÊNCIAS DA SAÚDE,FARMÁCIA,FARMÁCIA,NÃO SE APLICA,NÃO SE APLICA,19,FARMÁCIA,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016049P1,CIÊNCIAS FARMACÊUTICAS,PHARMACEUTICAL SCIENCE UNDERGRADUATED PROGRAM,MESTRADO,3,2006,2006,EM FUNCIONAMENTO
62,2021,CIÊNCIAS DA SAÚDE,FARMÁCIA,FARMÁCIA,NÃO SE APLICA,NÃO SE APLICA,19,FARMÁCIA,12001015,4,UFAM,UNIVERSIDADE FEDERAL DO AMAZONAS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AM,MANAUS,ACADÊMICO,12001015033P0,CIÊNCIAS FARMACÊUTICAS,PHARMACEUTICAL SCIENCES,MESTRADO,3,2009,2009,EM FUNCIONAMENTO
385,2021,CIÊNCIAS BIOLÓGICAS,FARMACOLOGIA,FARMACOLOGIA,NÃO SE APLICA,NÃO SE APLICA,8,CIÊNCIAS BIOLÓGICAS II,21001014,5,FUFPI,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,PI,TERESINA,ACADÊMICO,21001014013P4,FARMACOLOGIA,PHARMACOLOGY,MESTRADO/DOUTORADO,4,2007,2007/2019,EM FUNCIONAMENTO
159,2021,CIÊNCIAS BIOLÓGICAS,FARMACOLOGIA,FARMACOLOGIA,NÃO SE APLICA,NÃO SE APLICA,8,CIÊNCIAS BIOLÓGICAS II,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016171P1,FARMACOLOGIA E BIOQUÍMICA,PHARMACOLOGY AND BIOCHEMISTRY,MESTRADO/DOUTORADO,A,2021,2021/2021,EM FUNCIONAMENTO
149,2021,CIÊNCIAS HUMANAS,FILOSOFIA,FILOSOFIA,NÃO SE APLICA,NÃO SE APLICA,33,FILOSOFIA,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016070P0,FILOSOFIA,PHILOSOPHY,MESTRADO,3,2011,2011,EM FUNCIONAMENTO
8,2021,CIÊNCIAS HUMANAS,FILOSOFIA,FILOSOFIA,NÃO SE APLICA,NÃO SE APLICA,33,FILOSOFIA,10001018,699,UNIR,UNIVERSIDADE FEDERAL DE RONDÔNIA,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,RO,PORTO VELHO,ACADÊMICO,10001018043P0,FILOSOFIA,PHILOSOPHY,MESTRADO,A,2019,2019,EM FUNCIONAMENTO
344,2021,CIÊNCIAS EXATAS E DA TERRA,FÍSICA,FÍSICA,NÃO SE APLICA,NÃO SE APLICA,3,ASTRONOMIA / FÍSICA,20001010,548,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,SÃO LUÍS,ACADÊMICO,20001010013P1,FÍSICA,PHYSICS GRADUATE PROGRAM,MESTRADO/DOUTORADO,5,2005,2005/2011,EM FUNCIONAMENTO
30,2021,CIÊNCIAS AGRÁRIAS,AGRONOMIA,AGRONOMIA,NÃO SE APLICA,NÃO SE APLICA,42,CIÊNCIAS AGRÁRIAS I,11001011,549,UFAC,UNIVERSIDADE FEDERAL DO ACRE,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AC,RIO BRANCO,ACADÊMICO,11001011004P7,PRODUÇÃO VEGETAL,PLANT PRODUCTION,MESTRADO/DOUTORADO,4,2006,2006/2014,EM FUNCIONAMENTO
294,2021,CIÊNCIAS AGRÁRIAS,AGRONOMIA,AGRONOMIA,NÃO SE APLICA,NÃO SE APLICA,42,CIÊNCIAS AGRÁRIAS I,16003012,3849,UFT,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,TO,GURUPI,ACADÊMICO,16003012003P7,PRODUÇÃO VEGETAL,PLANT PRODUCTION,MESTRADO/DOUTORADO,5,2006,2006/2012,EM FUNCIONAMENTO
246,2021,"LINGÜÍSTICA, LETRAS E ARTES",LETRAS,LETRAS,NÃO SE APLICA,NÃO SE APLICA,41,LINGUÍSTICA E LITERATURA,15006018,38,UEPA,UNIVERSIDADE DO ESTADO DO PARÁ,NÃO,,ESTADUAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,PROFISSIONAL,15006018010P0,ENSINO DE LÍNGUA PORTUGUESA E SUAS RESPECTIVAS LITERATURAS,PORTUGUESE LANGUAGE TEACHING GRADUATE PROGRAM AND THEIR RESPECTIVE LITERATURE,MESTRADO PROFISSIONAL,A,2019,2019,EM FUNCIONAMENTO
